Incentive Strategy,Total to Distribute,Time taken to achieve 95% adoption
['Random'],25000.0,20000
['Random'],26410.25641025641,20000
['Random'],27820.51282051282,20000
['Random'],29230.76923076923,20000
['Random'],30641.02564102564,20000
['Random'],32051.28205128205,20000
['Random'],33461.53846153846,20000
['Random'],34871.794871794875,20000
['Random'],36282.05128205128,20000
['Random'],37692.30769230769,20000
['Random'],39102.5641025641,20000
['Random'],40512.820512820515,20000
['Random'],41923.07692307692,16000
['Random'],43333.33333333333,15000
['Random'],44743.58974358974,17000
['Random'],46153.846153846156,16000
['Random'],47564.10256410256,14000
['Random'],48974.35897435897,20000
['Random'],50384.61538461538,20000
['Random'],51794.8717948718,20000
['Random'],53205.1282051282,20000
['Random'],54615.38461538461,20000
['Random'],56025.64102564102,8866
['Random'],57435.89743589744,4189
['Random'],58846.153846153844,4189
['Random'],60256.41025641025,4189
['Random'],61666.666666666664,4189
['Random'],63076.92307692308,4189
['Random'],64487.179487179485,4189
['Random'],65897.43589743589,4189
['Random'],67307.69230769231,4189
['Random'],68717.94871794872,4189
['Random'],70128.20512820513,4189
['Random'],71538.46153846153,4189
['Random'],72948.71794871794,4189
['Random'],74358.97435897436,4189
['Random'],75769.23076923077,4189
['Random'],77179.48717948717,4189
['Random'],78589.7435897436,4189
['Random'],80000.0,4189
['Highest_degree'],25000.0,20000
['Highest_degree'],26410.25641025641,20000
['Highest_degree'],27820.51282051282,20000
['Highest_degree'],29230.76923076923,20000
['Highest_degree'],30641.02564102564,20000
['Highest_degree'],32051.28205128205,20000
['Highest_degree'],33461.53846153846,20000
['Highest_degree'],34871.794871794875,20000
['Highest_degree'],36282.05128205128,20000
['Highest_degree'],37692.30769230769,20000
['Highest_degree'],39102.5641025641,20000
['Highest_degree'],40512.820512820515,20000
['Highest_degree'],41923.07692307692,20000
['Highest_degree'],43333.33333333333,20000
['Highest_degree'],44743.58974358974,20000
['Highest_degree'],46153.846153846156,20000
['Highest_degree'],47564.10256410256,20000
['Highest_degree'],48974.35897435897,20000
['Highest_degree'],50384.61538461538,20000
['Highest_degree'],51794.8717948718,20000
['Highest_degree'],53205.1282051282,20000
['Highest_degree'],54615.38461538461,20000
['Highest_degree'],56025.64102564102,20000
['Highest_degree'],57435.89743589744,20000
['Highest_degree'],58846.153846153844,20000
['Highest_degree'],60256.41025641025,20000
['Highest_degree'],61666.666666666664,16000
['Highest_degree'],63076.92307692308,8270
['Highest_degree'],64487.179487179485,7817
['Highest_degree'],65897.43589743589,7817
['Highest_degree'],67307.69230769231,7817
['Highest_degree'],68717.94871794872,7817
['Highest_degree'],70128.20512820513,7817
['Highest_degree'],71538.46153846153,7817
['Highest_degree'],72948.71794871794,7817
['Highest_degree'],74358.97435897436,7817
['Highest_degree'],75769.23076923077,7817
['Highest_degree'],77179.48717948717,7817
['Highest_degree'],78589.7435897436,7817
['Highest_degree'],80000.0,7817
['Lowest_degree'],25000.0,20000
['Lowest_degree'],26410.25641025641,20000
['Lowest_degree'],27820.51282051282,20000
['Lowest_degree'],29230.76923076923,20000
['Lowest_degree'],30641.02564102564,20000
['Lowest_degree'],32051.28205128205,20000
['Lowest_degree'],33461.53846153846,16000
['Lowest_degree'],34871.794871794875,18000
['Lowest_degree'],36282.05128205128,18000
['Lowest_degree'],37692.30769230769,16000
['Lowest_degree'],39102.5641025641,16000
['Lowest_degree'],40512.820512820515,17000
['Lowest_degree'],41923.07692307692,16000
['Lowest_degree'],43333.33333333333,20000
['Lowest_degree'],44743.58974358974,11912
['Lowest_degree'],46153.846153846156,20000
['Lowest_degree'],47564.10256410256,20000
['Lowest_degree'],48974.35897435897,20000
['Lowest_degree'],50384.61538461538,9481
['Lowest_degree'],51794.8717948718,9012
['Lowest_degree'],53205.1282051282,8042
['Lowest_degree'],54615.38461538461,7175
['Lowest_degree'],56025.64102564102,5604
['Lowest_degree'],57435.89743589744,5533
['Lowest_degree'],58846.153846153844,5533
['Lowest_degree'],60256.41025641025,5533
['Lowest_degree'],61666.666666666664,5533
['Lowest_degree'],63076.92307692308,5533
['Lowest_degree'],64487.179487179485,5533
['Lowest_degree'],65897.43589743589,5533
['Lowest_degree'],67307.69230769231,5533
['Lowest_degree'],68717.94871794872,5533
['Lowest_degree'],70128.20512820513,5533
['Lowest_degree'],71538.46153846153,5533
['Lowest_degree'],72948.71794871794,5533
['Lowest_degree'],74358.97435897436,5533
['Lowest_degree'],75769.23076923077,5533
['Lowest_degree'],77179.48717948717,5533
['Lowest_degree'],78589.7435897436,5533
['Lowest_degree'],80000.0,5533
['Highest_gamma'],25000.0,20000
['Highest_gamma'],26410.25641025641,20000
['Highest_gamma'],27820.51282051282,20000
['Highest_gamma'],29230.76923076923,20000
['Highest_gamma'],30641.02564102564,20000
['Highest_gamma'],32051.28205128205,19000
['Highest_gamma'],33461.53846153846,14000
['Highest_gamma'],34871.794871794875,14000
['Highest_gamma'],36282.05128205128,15000
['Highest_gamma'],37692.30769230769,14000
['Highest_gamma'],39102.5641025641,14000
['Highest_gamma'],40512.820512820515,18000
['Highest_gamma'],41923.07692307692,15000
['Highest_gamma'],43333.33333333333,17000
['Highest_gamma'],44743.58974358974,15000
['Highest_gamma'],46153.846153846156,18000
['Highest_gamma'],47564.10256410256,14000
['Highest_gamma'],48974.35897435897,18000
['Highest_gamma'],50384.61538461538,14000
['Highest_gamma'],51794.8717948718,20000
['Highest_gamma'],53205.1282051282,20000
['Highest_gamma'],54615.38461538461,20000
['Highest_gamma'],56025.64102564102,20000
['Highest_gamma'],57435.89743589744,20000
['Highest_gamma'],58846.153846153844,20000
['Highest_gamma'],60256.41025641025,20000
['Highest_gamma'],61666.666666666664,20000
['Highest_gamma'],63076.92307692308,20000
['Highest_gamma'],64487.179487179485,20000
['Highest_gamma'],65897.43589743589,20000
['Highest_gamma'],67307.69230769231,20000
['Highest_gamma'],68717.94871794872,20000
['Highest_gamma'],70128.20512820513,20000
